Date,Open,High,Low,Close,Volume
10-Jun-09,84.35,84.49,81.61,82.93,2645849
9-Jun-09,85.60,86.00,83.20,84.01,2361431
8-Jun-09,84.82,86.37,84.20,85.85,1550235
5-Jun-09,85.34,87.06,84.65,86.17,1975567
4-Jun-09,83.66,84.76,83.55,84.50,1704462
3-Jun-09,83.64,84.55,82.63,83.24,2408690
2-Jun-09,83.86,84.82,83.17,84.37,2202224
1-Jun-09,83.75,85.29,83.69,84.16,3337331
29-May-09,83.00,83.98,81.75,83.63,1648539
28-May-09,81.20,83.25,80.63,82.99,1877907
27-May-09,83.42,83.47,81.70,81.78,1675078
26-May-09,81.11,83.86,81.06,83.26,1986611
22-May-09,81.80,82.48,81.14,81.44,1130363
21-May-09,81.64,81.76,80.35,81.48,2148237
20-May-09,80.94,83.31,80.73,82.48,3288933
19-May-09,79.85,80.99,79.30,80.54,2344438
18-May-09,79.50,80.64,79.06,80.55,1858918
15-May-09,80.73,80.90,79.05,79.93,2238610
14-May-09,80.55,81.57,80.18,80.87,1842582
13-May-09,80.46,80.90,79.44,80.53,2353602
12-May-09,80.51,81.85,79.36,81.61,2144061
11-May-09,81.52,81.52,79.80,80.35,2578030
8-May-09,80.28,82.46,80.28,82.46,2217628
7-May-09,80.60,80.62,78.83,79.68,3397722
6-May-09,80.43,80.89,79.14,80.48,2083681
5-May-09,79.98,80.78,79.18,79.68,2828767
4-May-09,81.27,81.59,79.90,80.34,3771695
1-May-09,78.67,82.24,78.62,81.59,3275166
30-Apr-09,79.56,80.63,77.64,78.53,2388192
29-Apr-09,78.03,80.06,77.89,79.08,1534199
28-Apr-09,77.13,78.04,76.73,77.13,1804531
27-Apr-09,76.45,79.10,75.68,78.06,2110390
24-Apr-09,77.41,77.55,76.28,77.08,1947452
23-Apr-09,75.73,77.45,74.32,77.36,2807407
22-Apr-09,74.72,76.75,74.52,74.85,3231076
21-Apr-09,76.00,77.50,75.21,76.04,3159345
20-Apr-09,76.10,76.66,75.01,75.73,2462011
17-Apr-09,77.64,78.03,76.53,76.94,3099341
16-Apr-09,74.83,78.22,74.29,77.58,4494782
15-Apr-09,72.46,74.41,72.27,74.33,2677708
14-Apr-09,73.31,73.88,72.00,72.91,2519020
13-Apr-09,72.64,74.23,72.25,73.79,2931188
9-Apr-09,74.02,74.59,72.45,73.32,2679982
8-Apr-09,73.93,74.18,72.02,72.70,3424485
7-Apr-09,71.99,75.80,71.85,73.79,8493440
6-Apr-09,66.87,73.47,65.21,73.28,12103121
3-Apr-09,68.98,69.50,65.72,67.31,5308804
2-Apr-09,68.91,70.49,68.59,69.17,3669696
1-Apr-09,67.53,69.04,66.40,67.59,4311004
31-Mar-09,69.27,70.63,67.29,69.03,3500081
30-Mar-09,69.71,70.28,68.34,69.01,3003628
27-Mar-09,71.97,72.78,70.74,71.28,3603700
26-Mar-09,68.89,72.83,68.89,72.67,4025886
25-Mar-09,68.97,69.84,67.07,68.48,3556668
24-Mar-09,68.54,70.06,68.09,68.09,3892407
23-Mar-09,68.90,69.83,67.35,69.14,3413054
20-Mar-09,68.27,69.78,67.45,67.78,4196783
19-Mar-09,67.62,68.82,66.00,68.22,4269724
18-Mar-09,65.41,67.88,64.16,66.84,3206888
17-Mar-09,64.65,65.74,63.20,65.66,3099899
16-Mar-09,61.55,65.79,60.94,64.61,4718801
13-Mar-09,61.41,62.00,60.46,61.20,4028706
12-Mar-09,58.18,61.38,57.74,61.02,5404465
11-Mar-09,59.35,60.00,57.96,58.18,4016246
10-Mar-09,59.10,59.50,57.96,59.01,4987577
9-Mar-09,58.18,59.40,57.55,58.24,3073129
6-Mar-09,60.02,61.12,57.41,58.85,3970683
5-Mar-09,60.63,61.50,59.29,59.91,5193367
4-Mar-09,60.69,63.23,59.71,61.95,6697460
3-Mar-09,60.09,61.50,58.43,59.35,6494823
2-Mar-09,60.63,61.88,59.69,59.96,6767533
27-Feb-09,67.44,67.72,63.11,63.11,7544938
26-Feb-09,70.90,71.50,68.73,68.93,3600811
25-Feb-09,73.93,73.98,69.67,70.46,5704658
24-Feb-09,74.32,75.26,72.73,74.44,3256530
23-Feb-09,77.58,77.90,73.70,73.87,3235606
20-Feb-09,74.23,78.49,75.31,77.75,4162147
19-Feb-09,77.77,77.85,76.57,77.16,3304863
18-Feb-09,75.99,78.42,74.98,77.03,3980802
17-Feb-09,76.81,76.81,74.53,75.64,2848731
13-Feb-09,76.98,79.44,76.26,78.47,3045778
12-Feb-09,77.04,77.42,75.00,77.38,3804027
11-Feb-09,78.88,79.12,77.11,77.49,2779778
10-Feb-09,80.81,81.75,77.43,77.99,3957660
9-Feb-09,79.37,81.62,79.10,81.50,3751526
6-Feb-09,81.13,81.37,77.55,79.37,6036573
5-Feb-09,80.40,82.46,79.10,81.62,2781920
4-Feb-09,79.97,82.39,79.86,81.06,2541965
3-Feb-09,79.89,80.58,76.84,79.90,4093388
2-Feb-09,81.00,81.00,77.84,79.18,3852882
30-Jan-09,82.91,83.99,81.44,82.04,2438412
29-Jan-09,82.47,83.72,81.81,83.11,2505284
28-Jan-09,83.72,84.00,81.35,82.57,2569744
27-Jan-09,83.12,83.60,80.45,82.48,2894149
26-Jan-09,80.72,83.19,80.27,82.52,3279485
23-Jan-09,83.55,84.09,80.19,80.98,5824267
22-Jan-09,77.95,85.59,76.70,85.08,6176358
21-Jan-09,79.61,80.18,78.00,80.03,2758079
20-Jan-09,81.64,82.36,78.04,78.63,2957282
16-Jan-09,80.73,82.57,79.97,82.16,3449340
15-Jan-09,78.56,79.53,77.33,79.48,3103673
14-Jan-09,79.45,80.84,77.88,78.80,3673866
13-Jan-09,79.34,80.65,77.69,80.25,3246641
12-Jan-09,80.75,81.08,79.10,79.66,2183610
9-Jan-09,81.26,81.88,79.69,80.76,2868747
8-Jan-09,81.31,81.45,79.79,80.81,2966054
7-Jan-09,83.33,83.33,81.21,81.83,2860416
6-Jan-09,85.21,85.22,83.28,84.10,2860452
5-Jan-09,85.29,85.35,82.84,83.85,2472722
2-Jan-09,84.34,85.90,82.01,85.55,1696714
31-Dec-08,84.29,84.97,83.93,84.08,1562738
30-Dec-08,81.10,84.31,80.79,84.29,1705431
29-Dec-08,81.00,81.68,79.86,80.54,1262974
26-Dec-08,79.15,81.52,78.89,81.11,1023894
24-Dec-08,78.21,79.84,77.72,79.22,468557
23-Dec-08,79.28,79.82,78.00,78.28,1597616
22-Dec-08,79.90,79.90,77.52,78.92,2175697
19-Dec-08,79.25,81.49,77.78,80.01,4692256
18-Dec-08,79.10,80.49,78.21,78.64,2016046
17-Dec-08,77.14,79.88,76.34,78.91,1923758
16-Dec-08,76.30,78.50,74.57,78.41,3417447
15-Dec-08,78.23,78.23,74.24,75.86,3002006
12-Dec-08,74.83,77.88,74.20,77.80,2788072
11-Dec-08,78.96,79.51,75.78,76.20,4117568
10-Dec-08,80.56,82.00,77.84,79.19,2848714
9-Dec-08,80.75,82.84,80.10,80.77,3089958
8-Dec-08,81.46,83.36,80.19,81.65,2939102
5-Dec-08,76.35,80.62,74.69,80.19,3718429
4-Dec-08,76.00,78.87,75.12,77.15,3671802
3-Dec-08,73.70,77.11,72.10,76.91,3971882
2-Dec-08,72.13,74.83,71.05,73.63,3252485
1-Dec-08,76.42,76.79,70.98,71.07,2892810
28-Nov-08,73.70,77.11,73.28,77.11,1258860
26-Nov-08,71.54,73.55,70.28,73.53,2046381
25-Nov-08,74.13,75.02,71.15,73.03,3452927
24-Nov-08,73.68,74.42,71.41,72.74,2754745
21-Nov-08,68.07,72.98,68.07,72.68,4106326
20-Nov-08,68.78,72.09,67.38,67.97,4021204
19-Nov-08,73.54,74.97,68.81,69.33,2576354
18-Nov-08,70.71,73.92,70.01,73.12,3964063
17-Nov-08,71.24,73.16,69.87,70.99,1987912
14-Nov-08,73.69,76.77,71.64,72.26,2782613
13-Nov-08,71.96,75.23,68.82,75.21,3340656
12-Nov-08,73.42,73.87,71.19,71.70,2317195
11-Nov-08,76.69,76.72,73.60,74.41,3060834
10-Nov-08,80.27,81.25,76.33,77.51,2628553
7-Nov-08,77.18,79.42,75.70,78.75,2508112
6-Nov-08,83.50,84.00,76.22,76.82,4631027
5-Nov-08,86.32,86.67,83.19,84.39,3043693
4-Nov-08,85.49,86.38,84.28,85.91,2948726
3-Nov-08,84.95,85.63,83.04,83.98,2411603
31-Oct-08,82.15,85.86,80.86,85.05,3922826
30-Oct-08,80.71,83.37,78.81,82.18,3302366
29-Oct-08,80.30,82.42,78.34,78.61,3465478
28-Oct-08,73.87,80.49,73.44,80.28,4336485
27-Oct-08,75.27,76.21,72.40,72.64,4722868
24-Oct-08,75.01,79.65,75.01,75.84,3952926
23-Oct-08,79.94,81.41,75.36,79.64,5599366
22-Oct-08,82.91,84.98,78.33,79.77,5796331
21-Oct-08,89.34,90.75,84.06,84.19,7339138
20-Oct-08,91.99,94.09,90.63,93.22,3701762
17-Oct-08,90.26,94.75,87.75,90.75,3212789
16-Oct-08,95.24,95.24,84.81,92.61,3543539
15-Oct-08,95.94,95.94,86.80,87.47,3067985
14-Oct-08,93.40,96.85,92.19,95.77,4772916
13-Oct-08,89.52,90.52,87.91,90.26,4474795
10-Oct-08,88.90,94.08,81.76,87.48,8172664
9-Oct-08,98.25,100.12,91.66,92.00,4987555
8-Oct-08,97.02,101.48,96.00,98.00,5655520
7-Oct-08,103.80,105.82,99.00,99.00,5151951
6-Oct-08,103.31,105.12,101.35,102.62,3407036
3-Oct-08,105.57,107.32,104.66,105.01,2879545
2-Oct-08,108.20,109.61,102.87,104.27,3982257
1-Oct-08,108.90,109.70,107.49,108.85,2879435
30-Sep-08,110.26,112.31,108.19,109.67,3572696
29-Sep-08,111.32,115.01,107.55,109.98,3425324
26-Sep-08,109.37,112.87,107.01,112.55,2092539
25-Sep-08,108.71,111.65,107.90,110.51,2357190
24-Sep-08,107.66,109.11,106.58,107.65,1899362
23-Sep-08,108.25,109.86,106.01,107.53,2678010
22-Sep-08,109.76,111.50,106.20,108.20,2823036
19-Sep-08,117.50,117.50,108.20,110.88,5833987
18-Sep-08,106.74,114.89,106.51,113.82,4961307
17-Sep-08,110.37,112.33,106.02,106.03,3924948
16-Sep-08,110.09,113.30,106.12,112.03,5852809
15-Sep-08,115.35,117.19,110.88,111.69,6069623
12-Sep-08,115.00,117.27,114.45,117.27,2264331
11-Sep-08,113.23,115.22,110.26,115.10,2328408
10-Sep-08,116.37,116.37,113.80,114.09,3220033
9-Sep-08,119.00,119.82,115.84,115.89,3019500
8-Sep-08,118.01,119.95,115.55,117.83,2938265
5-Sep-08,112.88,116.34,112.52,115.72,3306260
4-Sep-08,115.81,116.00,112.95,113.82,2671575
3-Sep-08,117.07,118.19,115.66,116.40,2291853
2-Sep-08,117.60,118.18,116.17,117.44,3641561
29-Aug-08,119.18,119.18,116.09,116.44,3841407
28-Aug-08,116.03,120.30,115.80,119.59,3542063
27-Aug-08,115.15,116.30,115.07,115.90,1845295
26-Aug-08,114.53,115.69,113.69,115.59,1949385
25-Aug-08,115.03,115.41,113.64,114.26,1679418
22-Aug-08,115.35,115.98,114.24,115.77,2390407
21-Aug-08,113.76,115.39,112.55,115.04,2237990
20-Aug-08,115.81,115.81,113.02,114.25,4144768
19-Aug-08,114.51,116.05,114.51,115.74,2727769
18-Aug-08,116.73,116.73,114.02,115.25,3168910
15-Aug-08,113.38,117.04,113.29,116.67,4938476
14-Aug-08,112.55,113.72,111.02,113.18,2956759
13-Aug-08,113.95,114.80,111.09,112.97,4197770
12-Aug-08,112.82,114.41,111.98,114.39,4132396
11-Aug-08,111.74,113.01,110.07,112.88,4044950
8-Aug-08,107.95,112.06,107.60,112.06,3093689
